GSE103380,CelFile1,CelFile2
day4_1_vs_naive_1,GSM2769669_05_D4-1_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769665_01_N-1_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_1_vs_naive_2,GSM2769669_05_D4-1_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769666_02_NM-2_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_1_vs_naive_3,GSM2769669_05_D4-1_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769667_03_NF-3_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_1_vs_naive_4,GSM2769669_05_D4-1_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769668_04_N-4_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_2_vs_naive_1,GSM2769670_06_D4-2_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769665_01_N-1_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_2_vs_naive_2,GSM2769670_06_D4-2_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769666_02_NM-2_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_2_vs_naive_3,GSM2769670_06_D4-2_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769667_03_NF-3_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_2_vs_naive_4,GSM2769670_06_D4-2_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769668_04_N-4_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_3_vs_naive_1,GSM2769671_07_D4-3_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769665_01_N-1_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_3_vs_naive_2,GSM2769671_07_D4-3_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769666_02_NM-2_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_3_vs_naive_3,GSM2769671_07_D4-3_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769667_03_NF-3_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_3_vs_naive_4,GSM2769671_07_D4-3_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769668_04_N-4_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_4_vs_naive_1,GSM2769672_08_D4-4_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769665_01_N-1_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_4_vs_naive_2,GSM2769672_08_D4-4_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769666_02_NM-2_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_4_vs_naive_3,GSM2769672_08_D4-4_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769667_03_NF-3_repl_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL
day4_4_vs_naive_4,GSM2769672_08_D4-4_Day4_08-23-16_S2_Clariom_S_Mouse_.CEL,GSM2769668_04_N-4_Naive_08-23-16_S2_Clariom_S_Mouse_.CEL